Nilai_Matematika,Nilai_IPA,Nilai_Bahasa_Inggris,Minat,Bakat,Jurusan
97,92,89,Teknologi,Analitis,Teknik Informatika
90,95,93,Teknologi,Analitis,Teknik Informatika
90,88,91,Teknologi,Analitis,Teknik Informatika
96,93,91,Teknologi,Analitis,Teknik Informatika
94,92,92,Teknologi,Analitis,Teknik Informatika
99,90,90,Teknologi,Analitis,Teknik Informatika
96,92,85,Teknologi,Komunikatif,Teknik Informatika
97,94,90,Teknologi,Komunikatif,Teknik Informatika
92,88,91,Teknologi,Analitis,Teknik Informatika
99,95,88,Teknologi,Komunikatif,Teknik Informatika
98,95,89,Teknologi,Komunikatif,Teknik Informatika
96,94,89,Teknologi,Komunikatif,Teknik Informatika
95,90,94,Teknologi,Analitis,Teknik Informatika
90,94,94,Teknologi,Komunikatif,Teknik Informatika
94,95,89,Teknologi,Analitis,Teknik Informatika
95,92,88,Teknologi,Analitis,Teknik Informatika
92,91,86,Teknologi,Analitis,Teknik Informatika
94,95,88,Teknologi,Analitis,Teknik Informatika
92,92,87,Teknologi,Analitis,Teknik Informatika
95,90,90,Teknologi,Analitis,Teknik Informatika
99,89,86,Teknologi,Analitis,Teknik Informatika
100,91,94,Teknologi,Analitis,Teknik Informatika
98,94,95,Teknologi,Analitis,Teknik Informatika
94,89,85,Teknologi,Komunikatif,Teknik Informatika
96,91,91,Teknologi,Analitis,Teknik Informatika
100,91,88,Teknologi,Komunikatif,Teknik Informatika
92,94,86,Teknologi,Komunikatif,Teknik Informatika
91,88,93,Teknologi,Komunikatif,Teknik Informatika
93,91,89,Teknologi,Komunikatif,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
100,91,93,Teknologi,Analitis,Teknik Informatika
97,91,89,Teknologi,Komunikatif,Teknik Informatika
94,89,92,Teknologi,Analitis,Teknik Informatika
93,90,88,Teknologi,Analitis,Teknik Informatika
94,92,93,Teknologi,Analitis,Teknik Informatika
94,92,93,Teknologi,Analitis,Teknik Informatika
100,88,92,Teknologi,Komunikatif,Teknik Informatika
97,92,86,Teknologi,Analitis,Teknik Informatika
93,88,86,Teknologi,Analitis,Teknik Informatika
98,92,86,Teknologi,Analitis,Teknik Informatika
94,93,95,Teknologi,Analitis,Teknik Informatika
90,95,90,Teknologi,Analitis,Teknik Informatika
91,88,91,Teknologi,Analitis,Teknik Informatika
93,93,95,Teknologi,Analitis,Teknik Informatika
99,89,87,Teknologi,Komunikatif,Teknik Informatika
93,88,94,Teknologi,Analitis,Teknik Informatika
90,95,90,Teknologi,Analitis,Teknik Informatika
95,94,86,Teknologi,Analitis,Teknik Informatika
98,91,90,Teknologi,Analitis,Teknik Informatika
98,94,88,Teknologi,Komunikatif,Teknik Informatika
94,92,90,Teknologi,Analitis,Teknik Informatika
92,92,87,Teknologi,Analitis,Teknik Informatika
92,93,85,Teknologi,Analitis,Teknik Informatika
90,94,93,Teknologi,Komunikatif,Teknik Informatika
93,95,93,Teknologi,Analitis,Teknik Informatika
97,94,90,Teknologi,Komunikatif,Teknik Informatika
95,93,86,Teknologi,Analitis,Teknik Informatika
100,89,91,Teknologi,Analitis,Teknik Informatika
96,88,89,Teknologi,Komunikatif,Teknik Informatika
99,91,90,Teknologi,Analitis,Teknik Informatika
100,89,91,Teknologi,Analitis,Teknik Informatika
91,91,92,Teknologi,Analitis,Teknik Informatika
93,93,88,Teknologi,Analitis,Teknik Informatika
91,92,90,Teknologi,Analitis,Teknik Informatika
93,91,91,Teknologi,Analitis,Teknik Informatika
95,88,88,Teknologi,Komunikatif,Teknik Informatika
95,92,92,Teknologi,Analitis,Teknik Informatika
90,88,94,Teknologi,Analitis,Teknik Informatika
94,89,89,Teknologi,Komunikatif,Teknik Informatika
95,93,95,Teknologi,Komunikatif,Teknik Informatika
99,92,88,Teknologi,Analitis,Teknik Informatika
90,89,93,Teknologi,Analitis,Teknik Informatika
95,94,91,Teknologi,Komunikatif,Teknik Informatika
95,93,90,Teknologi,Komunikatif,Teknik Informatika
92,89,88,Teknologi,Analitis,Teknik Informatika
90,93,89,Teknologi,Analitis,Teknik Informatika
97,90,95,Teknologi,Komunikatif,Teknik Informatika
96,93,87,Teknologi,Analitis,Teknik Informatika
99,91,90,Teknologi,Analitis,Teknik Informatika
98,89,94,Teknologi,Analitis,Teknik Informatika
95,88,85,Teknologi,Analitis,Teknik Informatika
91,89,94,Teknologi,Analitis,Teknik Informatika
97,92,86,Teknologi,Analitis,Teknik Informatika
96,94,92,Teknologi,Komunikatif,Teknik Informatika
98,91,93,Teknologi,Analitis,Teknik Informatika
100,88,95,Teknologi,Analitis,Teknik Informatika
90,88,89,Teknologi,Komunikatif,Teknik Informatika
93,89,86,Teknologi,Komunikatif,Teknik Informatika
90,95,91,Teknologi,Komunikatif,Teknik Informatika
93,89,93,Teknologi,Komunikatif,Teknik Informatika
90,88,95,Teknologi,Analitis,Teknik Informatika
92,95,90,Teknologi,Komunikatif,Teknik Informatika
90,89,85,Teknologi,Komunikatif,Teknik Informatika
96,88,93,Teknologi,Komunikatif,Teknik Informatika
91,92,95,Teknologi,Analitis,Teknik Informatika
96,93,91,Teknologi,Analitis,Teknik Informatika
93,95,89,Teknologi,Analitis,Teknik Informatika
97,89,87,Teknologi,Analitis,Teknik Informatika
93,90,85,Teknologi,Analitis,Teknik Informatika
97,88,93,Teknologi,Komunikatif,Teknik Informatika
96,89,92,Teknologi,Analitis,Teknik Informatika
99,94,89,Teknologi,Analitis,Teknik Informatika
96,90,85,Teknologi,Analitis,Teknik Informatika
92,95,87,Teknologi,Analitis,Teknik Informatika
95,89,94,Teknologi,Komunikatif,Teknik Informatika
99,94,87,Teknologi,Analitis,Teknik Informatika
99,90,86,Teknologi,Analitis,Teknik Informatika
100,91,89,Teknologi,Analitis,Teknik Informatika
96,90,87,Teknologi,Analitis,Teknik Informatika
93,91,86,Teknologi,Analitis,Teknik Informatika
100,89,92,Teknologi,Analitis,Teknik Informatika
94,88,88,Teknologi,Analitis,Teknik Informatika
98,93,95,Teknologi,Analitis,Teknik Informatika
99,89,91,Teknologi,Analitis,Teknik Informatika
99,95,90,Teknologi,Analitis,Teknik Informatika
93,92,91,Teknologi,Komunikatif,Teknik Informatika
98,95,87,Teknologi,Komunikatif,Teknik Informatika
100,88,92,Teknologi,Analitis,Teknik Informatika
94,92,93,Teknologi,Analitis,Teknik Informatika
96,88,92,Teknologi,Komunikatif,Teknik Informatika
94,95,92,Teknologi,Komunikatif,Teknik Informatika
98,94,95,Teknologi,Analitis,Teknik Informatika
94,93,89,Teknologi,Komunikatif,Teknik Informatika
99,93,92,Teknologi,Analitis,Teknik Informatika
93,95,85,Teknologi,Analitis,Teknik Informatika
93,91,88,Teknologi,Analitis,Teknik Informatika
91,94,86,Teknologi,Analitis,Teknik Informatika
97,90,94,Teknologi,Komunikatif,Teknik Informatika
96,89,92,Teknologi,Komunikatif,Teknik Informatika
98,93,93,Teknologi,Komunikatif,Teknik Informatika
97,93,89,Teknologi,Analitis,Teknik Informatika
90,89,90,Teknologi,Komunikatif,Teknik Informatika
94,90,86,Teknologi,Analitis,Teknik Informatika
90,92,91,Teknologi,Analitis,Teknik Informatika
90,94,86,Teknologi,Komunikatif,Teknik Informatika
91,95,90,Teknologi,Komunikatif,Teknik Informatika
97,88,85,Teknologi,Komunikatif,Teknik Informatika
99,89,91,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
95,93,87,Teknologi,Komunikatif,Teknik Informatika
90,90,90,Teknologi,Komunikatif,Teknik Informatika
90,88,93,Teknologi,Komunikatif,Teknik Informatika
99,94,90,Teknologi,Komunikatif,Teknik Informatika
100,90,86,Teknologi,Analitis,Teknik Informatika
97,88,92,Teknologi,Analitis,Teknik Informatika
92,89,92,Teknologi,Analitis,Teknik Informatika
92,94,85,Teknologi,Analitis,Teknik Informatika
100,90,94,Teknologi,Komunikatif,Teknik Informatika
94,93,91,Teknologi,Analitis,Teknik Informatika
98,90,88,Teknologi,Analitis,Teknik Informatika
90,88,85,Teknologi,Analitis,Teknik Informatika
94,88,90,Teknologi,Analitis,Teknik Informatika
94,94,89,Teknologi,Komunikatif,Teknik Informatika
95,95,90,Teknologi,Analitis,Teknik Informatika
95,95,95,Teknologi,Analitis,Teknik Informatika
90,89,87,Teknologi,Analitis,Teknik Informatika
97,89,87,Teknologi,Analitis,Teknik Informatika
92,93,86,Teknologi,Analitis,Teknik Informatika
97,88,94,Teknologi,Analitis,Teknik Informatika
99,95,89,Teknologi,Analitis,Teknik Informatika
98,89,86,Teknologi,Analitis,Teknik Informatika
92,89,92,Teknologi,Analitis,Teknik Informatika
92,94,91,Teknologi,Analitis,Teknik Informatika
98,91,89,Teknologi,Analitis,Teknik Informatika
97,89,86,Teknologi,Analitis,Teknik Informatika
96,90,86,Teknologi,Analitis,Teknik Informatika
93,92,93,Teknologi,Komunikatif,Teknik Informatika
93,92,91,Teknologi,Komunikatif,Teknik Informatika
93,93,94,Teknologi,Analitis,Teknik Informatika
100,93,91,Teknologi,Analitis,Teknik Informatika
100,91,92,Teknologi,Analitis,Teknik Informatika
91,90,86,Teknologi,Analitis,Teknik Informatika
90,91,89,Teknologi,Analitis,Teknik Informatika
99,88,87,Teknologi,Analitis,Teknik Informatika
99,93,90,Teknologi,Analitis,Teknik Informatika
99,92,92,Teknologi,Analitis,Teknik Informatika
91,91,90,Teknologi,Analitis,Teknik Informatika
93,90,94,Teknologi,Analitis,Teknik Informatika
93,94,86,Teknologi,Komunikatif,Teknik Informatika
92,93,85,Teknologi,Analitis,Teknik Informatika
92,94,85,Teknologi,Analitis,Teknik Informatika
97,88,85,Teknologi,Komunikatif,Teknik Informatika
95,89,94,Teknologi,Komunikatif,Teknik Informatika
92,94,87,Teknologi,Analitis,Teknik Informatika
100,93,95,Teknologi,Komunikatif,Teknik Informatika
95,94,91,Teknologi,Analitis,Teknik Informatika
97,88,89,Teknologi,Analitis,Teknik Informatika
98,89,88,Teknologi,Analitis,Teknik Informatika
92,95,88,Teknologi,Komunikatif,Teknik Informatika
96,88,92,Teknologi,Komunikatif,Teknik Informatika
93,92,85,Teknologi,Analitis,Teknik Informatika
93,94,86,Teknologi,Komunikatif,Teknik Informatika
92,91,95,Teknologi,Komunikatif,Teknik Informatika
96,91,94,Teknologi,Komunikatif,Teknik Informatika
98,90,89,Teknologi,Komunikatif,Teknik Informatika
94,93,95,Teknologi,Analitis,Teknik Informatika
94,91,89,Teknologi,Komunikatif,Teknik Informatika
100,90,94,Teknologi,Komunikatif,Teknik Informatika
100,92,87,Teknologi,Komunikatif,Teknik Informatika
96,91,94,Teknologi,Komunikatif,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
98,91,95,Teknologi,Komunikatif,Teknik Informatika
93,89,93,Teknologi,Komunikatif,Teknik Informatika
90,88,94,Teknologi,Analitis,Teknik Informatika
96,93,87,Teknologi,Analitis,Teknik Informatika
95,90,94,Teknologi,Analitis,Teknik Informatika
99,89,86,Teknologi,Analitis,Teknik Informatika
92,89,86,Teknologi,Analitis,Teknik Informatika
96,92,92,Teknologi,Analitis,Teknik Informatika
98,90,90,Teknologi,Analitis,Teknik Informatika
97,88,85,Teknologi,Komunikatif,Teknik Informatika
99,89,87,Teknologi,Komunikatif,Teknik Informatika
99,90,92,Teknologi,Analitis,Teknik Informatika
97,88,87,Teknologi,Analitis,Teknik Informatika
90,89,93,Teknologi,Komunikatif,Teknik Informatika
96,90,95,Teknologi,Analitis,Teknik Informatika
90,94,90,Teknologi,Analitis,Teknik Informatika
100,94,93,Teknologi,Komunikatif,Teknik Informatika
94,88,92,Teknologi,Analitis,Teknik Informatika
96,94,85,Teknologi,Analitis,Teknik Informatika
90,94,94,Teknologi,Analitis,Teknik Informatika
92,88,91,Teknologi,Komunikatif,Teknik Informatika
93,95,89,Teknologi,Analitis,Teknik Informatika
93,91,86,Teknologi,Analitis,Teknik Informatika
99,94,92,Teknologi,Komunikatif,Teknik Informatika
96,94,95,Teknologi,Analitis,Teknik Informatika
98,89,87,Teknologi,Komunikatif,Teknik Informatika
99,90,92,Teknologi,Analitis,Teknik Informatika
90,94,93,Teknologi,Komunikatif,Teknik Informatika
96,90,87,Teknologi,Komunikatif,Teknik Informatika
94,88,90,Teknologi,Analitis,Teknik Informatika
94,95,88,Teknologi,Analitis,Teknik Informatika
97,89,88,Teknologi,Analitis,Teknik Informatika
92,89,90,Teknologi,Analitis,Teknik Informatika
96,88,87,Teknologi,Analitis,Teknik Informatika
97,95,89,Teknologi,Komunikatif,Teknik Informatika
93,95,85,Teknologi,Analitis,Teknik Informatika
93,94,86,Teknologi,Analitis,Teknik Informatika
96,94,94,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
94,88,87,Teknologi,Komunikatif,Teknik Informatika
91,90,87,Teknologi,Analitis,Teknik Informatika
97,94,94,Teknologi,Komunikatif,Teknik Informatika
91,91,90,Teknologi,Analitis,Teknik Informatika
100,93,85,Teknologi,Komunikatif,Teknik Informatika
95,91,95,Teknologi,Analitis,Teknik Informatika
97,92,93,Teknologi,Analitis,Teknik Informatika
92,94,86,Teknologi,Komunikatif,Teknik Informatika
98,92,88,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
90,89,87,Teknologi,Analitis,Teknik Informatika
98,92,86,Teknologi,Analitis,Teknik Informatika
97,90,95,Teknologi,Komunikatif,Teknik Informatika
93,92,85,Teknologi,Analitis,Teknik Informatika
97,89,89,Teknologi,Komunikatif,Teknik Informatika
98,89,94,Teknologi,Analitis,Teknik Informatika
100,90,91,Teknologi,Analitis,Teknik Informatika
91,94,94,Teknologi,Analitis,Teknik Informatika
91,89,94,Teknologi,Analitis,Teknik Informatika
94,88,85,Teknologi,Analitis,Teknik Informatika
96,93,94,Teknologi,Komunikatif,Teknik Informatika
99,90,92,Teknologi,Analitis,Teknik Informatika
97,88,87,Teknologi,Analitis,Teknik Informatika
100,89,94,Teknologi,Analitis,Teknik Informatika
94,90,93,Teknologi,Analitis,Teknik Informatika
95,88,93,Teknologi,Komunikatif,Teknik Informatika
99,90,86,Teknologi,Analitis,Teknik Informatika
94,88,90,Teknologi,Analitis,Teknik Informatika
90,95,91,Teknologi,Komunikatif,Teknik Informatika
96,88,87,Teknologi,Analitis,Teknik Informatika
92,88,91,Teknologi,Komunikatif,Teknik Informatika
91,89,93,Teknologi,Analitis,Teknik Informatika
97,94,94,Teknologi,Analitis,Teknik Informatika
94,88,93,Teknologi,Komunikatif,Teknik Informatika
94,93,92,Teknologi,Analitis,Teknik Informatika
94,88,91,Teknologi,Analitis,Teknik Informatika
94,91,92,Teknologi,Komunikatif,Teknik Informatika
